-----------------------------
1521234698.566,starting test
1521234704.036,F1:4E:55:EA:ED:A4,-55
1521234704.233,1D:35:DA:3F:51:F6,-63
1521234704.247,68:64:4B:39:4B:0F,-103
1521234704.251,E8:FA:0D:3C:01:82,-57
1521234704.271,E8:FA:0D:3C:01:82,-57
1521234704.276,C8:2F:80:DA:26:94,-54
1521234704.279,C8:2F:80:DA:26:94,-53
1521234704.295,DC:94:C8:A9:D0:B6,-53
1521234704.330,DC:94:C8:A9:D0:B6,-53
1521234704.333,C2:57:36:E6:71:6E,-57
1521234704.335,C2:57:36:E6:71:6E,-57
1521234704.554,CB:3C:59:5F:87:FB,-55
1521234704.555,61:B8:47:F5:59:8C,-103
1521234704.561,E5:3B:3A:53:DF:6C,-55
1521234704.573,E5:3B:3A:53:DF:6C,-55
1521234704.576,E9:0D:4A:6D:31:59,-57
1521234704.579,E9:0D:4A:6D:31:59,-57
1521234704.583,FD:99:D9:69:5D:BC,-58
1521234704.629,FD:99:D9:69:5D:BC,-58
1521234704.633,F1:4E:55:EA:ED:A4,-56
1521234704.831,F8:77:B8:B9:2D:74,-98
1521234704.838,D9:86:6F:AF:E8:90,-57
1521234704.842,E9:0D:4A:6D:31:59,-54
1521234704.844,EC:8F:47:27:6C:DE,-55
1521234704.852,EC:8F:47:27:6C:DE,-55
1521234704.854,FD:99:D9:69:5D:BC,-55
1521234704.855,FD:99:D9:69:5D:BC,-55
1521234704.857,1D:35:DA:3F:51:F6,-68
1521234704.862,E8:FA:0D:3C:01:82,-53
1521234704.876,E8:FA:0D:3C:01:82,-53
1521234704.879,EC:8F:47:27:6C:DE,-55
1521234704.880,EC:8F:47:27:6C:DE,-55
1521234704.887,C8:2F:80:DA:26:94,-54
1521234704.905,C8:2F:80:DA:26:94,-54
1521234704.906,DC:94:C8:A9:D0:B6,-57
1521234704.908,DC:94:C8:A9:D0:B6,-57
1521234705.144,C2:57:36:E6:71:6E,-57
1521234705.156,C2:57:36:E6:71:6E,-57
1521234705.157,7F:4B:65:4E:9A:05,-103
1521234705.160,CB:3C:59:5F:87:FB,-51
1521234705.162,CB:3C:59:5F:87:FB,-51
1521234705.171,1D:35:DA:3F:51:F6,-63
1521234705.175,E5:3B:3A:53:DF:6C,-53
1521234705.233,E5:3B:3A:53:DF:6C,-53
1521234705.452,D9:86:6F:AF:E8:90,-58
1521234705.452,D9:86:6F:AF:E8:90,-58
1521234705.458,F1:4E:55:EA:ED:A4,-56
1521234705.460,E9:0D:4A:6D:31:59,-57
1521234705.462,E9:0D:4A:6D:31:59,-57
1521234705.466,FD:99:D9:69:5D:BC,-58
1521234705.468,FD:99:D9:69:5D:BC,-58
1521234705.470,98:9E:63:42:70:FD,-102
1521234705.471,E8:FA:0D:3C:01:82,-57
1521234705.488,E8:FA:0D:3C:01:82,-57
1521234705.490,1D:35:DA:3F:51:F6,-58
1521234705.497,EC:8F:47:27:6C:DE,-58
1521234705.499,EC:8F:47:27:6C:DE,-58
1521234705.501,C8:2F:80:DA:26:94,-57
1521234705.503,C8:2F:80:DA:26:94,-57
1521234705.512,DC:94:C8:A9:D0:B6,-58
1521234705.531,DC:94:C8:A9:D0:B6,-58
1521234705.771,61:0A:EC:E1:29:E0,-101
1521234705.771,CB:3C:59:5F:87:FB,-53
1521234705.772,CB:3C:59:5F:87:FB,-53
1521234705.772,F8:77:B8:B9:2D:74,-99
1521234705.792,E5:3B:3A:53:DF:6C,-53
1521234705.801,E5:3B:3A:53:DF:6C,-53
1521234705.803,1D:35:DA:3F:51:F6,-68
1521234705.818,4F:90:35:1D:E2:40,-97
1521234705.830,4F:90:35:1D:E2:40,-96
1521234706.034,61:0A:EC:E1:29:E0,-101
1521234706.057,F1:4E:55:EA:ED:A4,-55
1521234706.064,F1:4E:55:EA:ED:A4,-55
1521234706.064,D9:86:6F:AF:E8:90,-55
1521234706.066,D9:86:6F:AF:E8:90,-55
1521234706.068,C1:96:24:5B:EB:97,-52
1521234706.075,C1:96:24:5B:EB:97,-52
1521234706.077,4C:7F:F4:3A:E6:B1,-103
1521234706.081,FD:99:D9:69:5D:BC,-58
1521234706.083,FD:99:D9:69:5D:BC,-58
1521234706.085,E9:0D:4A:6D:31:59,-53
1521234706.086,E9:0D:4A:6D:31:59,-53
1521234706.094,4F:90:35:1D:E2:40,-101
1521234706.108,1D:35:DA:3F:51:F6,-62
1521234706.113,C8:2F:80:DA:26:94,-53
1521234706.121,C8:2F:80:DA:26:94,-53
1521234706.123,EC:8F:47:27:6C:DE,-58
1521234706.125,EC:8F:47:27:6C:DE,-58
1521234706.344,DC:94:C8:A9:D0:B6,-59
1521234706.346,DC:94:C8:A9:D0:B6,-58
1521234706.348,61:0A:EC:E1:29:E0,-101
1521234706.381,CB:3C:59:5F:87:FB,-55
1521234706.401,CB:3C:59:5F:87:FB,-55
1521234706.406,E5:3B:3A:53:DF:6C,-55
1521234706.407,E5:3B:3A:53:DF:6C,-55
1521234706.421,1D:35:DA:3F:51:F6,-56
1521234706.639,1D:35:DA:3F:51:F6,-69
1521234706.639,C2:57:36:E6:71:6E,-58
1521234706.672,C2:57:36:E6:71:6E,-58
1521234706.674,F1:4E:55:EA:ED:A4,-55
1521234706.678,F1:4E:55:EA:ED:A4,-55
1521234706.692,F8:77:B8:B9:2D:74,-98
1521234706.727,EC:8F:47:27:6C:DE,-55
1521234706.730,EC:8F:47:27:6C:DE,-55
1521234706.949,61:0A:EC:E1:29:E0,-103
1521234706.953,1D:35:DA:3F:51:F6,-62
1521234706.961,DC:94:C8:A9:D0:B6,-53
1521234706.967,DC:94:C8:A9:D0:B6,-53
1521234706.971,D9:86:6F:AF:E8:90,-55
1521234706.973,D9:86:6F:AF:E8:90,-55
1521234706.975,61:0A:EC:E1:29:E0,-103
1521234706.990,E8:FA:0D:3C:01:82,-57
1521234707.005,E8:FA:0D:3C:01:82,-57
1521234707.008,CB:3C:59:5F:87:FB,-51
1521234707.010,CB:3C:59:5F:87:FB,-51
1521234707.019,E5:3B:3A:53:DF:6C,-53
1521234707.031,E5:3B:3A:53:DF:6C,-53
1521234707.252,C2:57:36:E6:71:6E,-62
1521234707.258,C2:57:36:E6:71:6E,-62
1521234707.262,61:0A:EC:E1:29:E0,-95
1521234707.265,1D:35:DA:3F:51:F6,-60
1521234707.291,C1:96:24:5B:EB:97,-54
1521234707.300,C1:96:24:5B:EB:97,-54
1521234707.302,FD:99:D9:69:5D:BC,-55
1521234707.304,FD:99:D9:69:5D:BC,-55
1521234707.306,E9:0D:4A:6D:31:59,-54
1521234707.314,E9:0D:4A:6D:31:59,-54
1521234707.319,F8:77:B8:B9:2D:74,-97
1521234707.321,7F:4B:65:4E:9A:05,-103
1521234707.344,C8:2F:80:DA:26:94,-54
1521234707.349,C8:2F:80:DA:26:94,-54
1521234707.351,EC:8F:47:27:6C:DE,-55
1521234707.354,EC:8F:47:27:6C:DE,-55
1521234707.365,1D:35:DA:3F:51:F6,-68
1521234707.372,DC:94:C8:A9:D0:B6,-57
1521234707.386,DC:94:C8:A9:D0:B6,-57
1521234707.388,D9:86:6F:AF:E8:90,-57
1521234707.389,D9:86:6F:AF:E8:90,-57
1521234707.598,D9:86:6F:AF:E8:90,-55
1521234707.599,D9:86:6F:AF:E8:90,-55
1521234707.599,E8:FA:0D:3C:01:82,-57
1521234707.600,E8:FA:0D:3C:01:82,-57
1521234707.605,61:0A:EC:E1:29:E0,-101
1521234707.613,CB:3C:59:5F:87:FB,-51
1521234707.634,CB:3C:59:5F:87:FB,-51
1521234707.638,E5:3B:3A:53:DF:6C,-53
1521234707.641,E5:3B:3A:53:DF:6C,-53
1521234707.643,DC:94:C8:A9:D0:B6,-53
1521234707.647,DC:94:C8:A9:D0:B6,-53
1521234707.651,3C:15:C2:C7:F7:27,-100
1521234707.651,75:33:23:D6:E1:5E,-102
1521234707.655,98:9E:63:42:70:FD,-101
1521234707.669,61:B8:47:F5:59:8C,-101
1521234707.672,61:B8:47:F5:59:8C,-102
1521234707.673,C2:57:36:E6:71:6E,-57
1521234707.677,C2:57:36:E6:71:6E,-56
1521234707.679,61:0A:EC:E1:29:E0,-99
1521234707.682,1D:35:DA:3F:51:F6,-63
1521234707.915,C1:96:24:5B:EB:97,-55
1521234707.916,C1:96:24:5B:EB:97,-55
1521234707.917,FD:99:D9:69:5D:BC,-57
1521234707.918,FD:99:D9:69:5D:BC,-57
