-----------------------------
1521232630.729,starting test
1521232635.069,FD:99:D9:69:5D:BC,-53
1521232635.073,FD:99:D9:69:5D:BC,-53
1521232635.073,26:94:08:39:24:90,-64
1521232635.084,EC:8F:47:27:6C:DE,-53
1521232635.097,EC:8F:47:27:6C:DE,-53
1521232635.100,CB:3C:59:5F:87:FB,-50
1521232635.104,CB:3C:59:5F:87:FB,-50
1521232635.322,E8:FA:0D:3C:01:82,-53
1521232635.323,E8:FA:0D:3C:01:82,-52
1521232635.324,62:38:F8:A7:CC:31,-86
1521232635.344,F8:77:B8:B9:2D:74,-101
1521232635.357,C2:57:36:E6:71:6E,-58
1521232635.385,C2:57:36:E6:71:6E,-58
1521232635.388,E9:0D:4A:6D:31:59,-56
1521232635.390,E9:0D:4A:6D:31:59,-56
1521232635.392,26:94:08:39:24:90,-57
1521232635.396,C1:96:24:5B:EB:97,-52
1521232635.403,C1:96:24:5B:EB:97,-52
1521232635.404,E5:3B:3A:53:DF:6C,-53
1521232635.406,E5:3B:3A:53:DF:6C,-53
1521232635.624,E5:3B:3A:53:DF:6C,-52
1521232635.624,E5:3B:3A:53:DF:6C,-52
1521232635.624,D9:86:6F:AF:E8:90,-52
1521232635.625,D9:86:6F:AF:E8:90,-53
1521232635.639,C8:2F:80:DA:26:94,-54
1521232635.647,C8:2F:80:DA:26:94,-54
1521232635.651,5F:17:B5:B3:51:A4,-103
1521232635.668,FD:99:D9:69:5D:BC,-53
1521232635.672,FD:99:D9:69:5D:BC,-53
1521232635.675,DC:94:C8:A9:D0:B6,-56
1521232635.678,DC:94:C8:A9:D0:B6,-56
1521232635.680,7F:4B:65:4E:9A:05,-96
1521232635.695,26:94:08:39:24:90,-65
1521232635.697,EC:8F:47:27:6C:DE,-53
1521232635.703,EC:8F:47:27:6C:DE,-53
1521232635.920,75:33:23:D6:E1:5E,-93
1521232635.920,75:33:23:D6:E1:5E,-93
1521232635.922,CB:3C:59:5F:87:FB,-50
1521232635.924,CB:3C:59:5F:87:FB,-50
1521232635.928,61:B8:47:F5:59:8C,-98
1521232635.932,E8:FA:0D:3C:01:82,-52
1521232635.960,E8:FA:0D:3C:01:82,-52
1521232635.962,61:B8:47:F5:59:8C,-101
1521232635.963,98:9E:63:42:70:FD,-98
1521232635.969,98:9E:63:42:70:FD,-98
1521232635.971,C2:57:36:E6:71:6E,-57
1521232635.973,C2:57:36:E6:71:6E,-57
1521232635.991,61:B8:47:F5:59:8C,-98
1521232635.998,61:B8:47:F5:59:8C,-98
1521232636.004,98:9E:63:42:70:FD,-98
1521232636.006,98:9E:63:42:70:FD,-98
1521232636.008,F1:4E:55:EA:ED:A4,-55
1521232636.009,F1:4E:55:EA:ED:A4,-55
1521232636.013,E9:0D:4A:6D:31:59,-53
1521232636.019,E9:0D:4A:6D:31:59,-53
1521232636.521,EC:8F:47:27:6C:DE,-54
1521232636.526,EC:8F:47:27:6C:DE,-54
1521232636.530,26:94:08:39:24:90,-55
1521232636.531,CB:3C:59:5F:87:FB,-54
1521232636.617,CB:3C:59:5F:87:FB,-54
1521232636.877,C8:2F:80:DA:26:94,-54
1521232636.892,C8:2F:80:DA:26:94,-54
1521232636.898,F8:77:B8:B9:2D:74,-103
1521232636.900,DC:94:C8:A9:D0:B6,-56
1521232636.904,DC:94:C8:A9:D0:B6,-56
1521232636.905,FD:99:D9:69:5D:BC,-53
1521232636.907,FD:99:D9:69:5D:BC,-53
1521232636.912,D9:86:6F:AF:E8:90,-53
1521232636.930,D9:86:6F:AF:E8:90,-53
1521232636.932,5F:17:B5:B3:51:A4,-103
1521232637.148,55:24:CF:EA:82:DD,-93
1521232637.156,98:9E:63:42:70:FD,-98
1521232637.165,98:9E:63:42:70:FD,-98
1521232637.166,E8:FA:0D:3C:01:82,-53
1521232637.167,E8:FA:0D:3C:01:82,-52
1521232637.168,61:B8:47:F5:59:8C,-98
1521232637.171,61:B8:47:F5:59:8C,-99
