-----------------------------
1520460139.607,starting test
1520460148.975,EC:8F:47:27:6C:DE,-55
1520460149.215,1F:9C:A1:B9:1A:73,-68
1520460149.243,E9:0D:4A:6D:31:59,-55
1520460149.256,E9:0D:4A:6D:31:59,-55
1520460149.258,D9:86:6F:AF:E8:90,-58
1520460149.260,D9:86:6F:AF:E8:90,-58
1520460149.264,C1:96:24:5B:EB:97,-51
1520460149.276,C1:96:24:5B:EB:97,-51
1520460149.516,FD:99:D9:69:5D:BC,-56
1520460149.518,FD:99:D9:69:5D:BC,-56
1520460149.519,DC:94:C8:A9:D0:B6,-55
1520460149.520,DC:94:C8:A9:D0:B6,-55
1520460149.522,1F:9C:A1:B9:1A:73,-55
1520460149.524,E8:FA:0D:3C:01:82,-55
1520460149.536,E8:FA:0D:3C:01:82,-55
1520460149.542,CB:3C:59:5F:87:FB,-54
1520460149.543,CB:3C:59:5F:87:FB,-54
1520460149.547,C8:2F:80:DA:26:94,-56
1520460149.548,C8:2F:80:DA:26:94,-56
1520460149.550,E5:3B:3A:53:DF:6C,-55
1520460149.551,E5:3B:3A:53:DF:6C,-55
1520460149.552,F1:4E:55:EA:ED:A4,-55
1520460149.575,F1:4E:55:EA:ED:A4,-55
1520460149.577,EC:8F:47:27:6C:DE,-56
1520460149.578,EC:8F:47:27:6C:DE,-56
1520460149.777,EC:8F:47:27:6C:DE,-55
1520460149.834,EC:8F:47:27:6C:DE,-55
1520460149.838,CB:3C:59:5F:87:FB,-53
1520460149.840,CB:3C:59:5F:87:FB,-53
1520460149.842,1F:9C:A1:B9:1A:73,-56
1520460149.844,68:64:4B:39:4B:0F,-101
1520460149.850,E9:0D:4A:6D:31:59,-54
1520460149.867,E9:0D:4A:6D:31:59,-54
1520460150.087,D9:86:6F:AF:E8:90,-57
1520460150.089,D9:86:6F:AF:E8:90,-57
1520460150.091,C1:96:24:5B:EB:97,-51
1520460150.093,C1:96:24:5B:EB:97,-51
1520460150.124,DC:94:C8:A9:D0:B6,-57
1520460150.127,DC:94:C8:A9:D0:B6,-57
1520460150.129,E8:FA:0D:3C:01:82,-55
