-----------------------------
1520459748.710,starting test
1520459757.188,F1:4E:55:EA:ED:A4,-63
1520459757.192,F1:4E:55:EA:ED:A4,-63
1520459757.193,DC:94:C8:A9:D0:B6,-61
1520459757.194,DC:94:C8:A9:D0:B6,-61
1520459757.452,CB:3C:59:5F:87:FB,-62
1520459757.468,CB:3C:59:5F:87:FB,-62
1520459757.470,EC:8F:47:27:6C:DE,-65
1520459757.473,EC:8F:47:27:6C:DE,-66
1520459757.481,1F:9C:A1:B9:1A:73,-58
1520459757.491,68:64:4B:39:4B:0F,-102
1520459757.504,C1:96:24:5B:EB:97,-58
1520459757.526,C1:96:24:5B:EB:97,-58
1520459757.745,FD:99:D9:69:5D:BC,-72
1520459757.761,FD:99:D9:69:5D:BC,-72
1520459757.762,E8:FA:0D:3C:01:82,-66
1520459757.763,E8:FA:0D:3C:01:82,-66
1520459757.764,F8:77:B8:B9:2D:74,-99
1520459757.769,E5:3B:3A:53:DF:6C,-68
1520459757.787,E5:3B:3A:53:DF:6C,-68
1520459757.789,C8:2F:80:DA:26:94,-65
1520459757.791,C8:2F:80:DA:26:94,-65
1520459757.795,1F:9C:A1:B9:1A:73,-66
1520459757.802,DC:94:C8:A9:D0:B6,-65
1520459757.824,DC:94:C8:A9:D0:B6,-65
1520459758.034,C2:57:36:E6:71:6E,-65
1520459758.034,68:64:4B:39:4B:0F,-96
1520459758.047,E5:3B:3A:53:DF:6C,-63
1520459758.058,E5:3B:3A:53:DF:6C,-63
1520459758.061,CB:3C:59:5F:87:FB,-63
1520459758.063,CB:3C:59:5F:87:FB,-64
1520459758.070,F8:77:B8:B9:2D:74,-93
1520459758.080,EC:8F:47:27:6C:DE,-70
1520459758.100,EC:8F:47:27:6C:DE,-70
1520459758.102,1F:9C:A1:B9:1A:73,-53
1520459758.358,D9:86:6F:AF:E8:90,-63
1520459758.359,E9:0D:4A:6D:31:59,-60
1520459758.360,FD:99:D9:69:5D:BC,-63
1520459758.384,FD:99:D9:69:5D:BC,-63
1520459758.387,C1:96:24:5B:EB:97,-58
1520459758.388,C1:96:24:5B:EB:97,-58
1520459758.396,C8:2F:80:DA:26:94,-63
1520459758.430,68:64:4B:39:4B:0F,-102
1520459758.431,DC:94:C8:A9:D0:B6,-60
1520459758.441,DC:94:C8:A9:D0:B6,-60
1520459758.444,FD:99:D9:69:5D:BC,-63
1520459758.445,FD:99:D9:69:5D:BC,-63
1520459758.636,1F:9C:A1:B9:1A:73,-70
1520459758.660,F1:4E:55:EA:ED:A4,-66
1520459758.663,F1:4E:55:EA:ED:A4,-65
1520459758.665,C2:57:36:E6:71:6E,-70
1520459758.667,C2:57:36:E6:71:6E,-70
1520459758.669,E5:3B:3A:53:DF:6C,-68
1520459758.676,F8:77:B8:B9:2D:74,-98
1520459758.693,EC:8F:47:27:6C:DE,-67
1520459758.724,EC:8F:47:27:6C:DE,-67
1520459758.942,1F:9C:A1:B9:1A:73,-54
1520459758.962,E9:0D:4A:6D:31:59,-62
1520459758.971,E9:0D:4A:6D:31:59,-62
1520459758.974,D9:86:6F:AF:E8:90,-66
1520459758.976,D9:86:6F:AF:E8:90,-66
1520459758.984,F8:77:B8:B9:2D:74,-94
1520459758.995,C1:96:24:5B:EB:97,-58
1520459759.002,C1:96:24:5B:EB:97,-58
1520459759.005,C8:2F:80:DA:26:94,-63
1520459759.008,C8:2F:80:DA:26:94,-63
1520459759.013,DC:94:C8:A9:D0:B6,-61
1520459759.025,DC:94:C8:A9:D0:B6,-61
1520459759.245,B8:09:8A:C7:31:B4,-103
1520459759.245,E8:FA:0D:3C:01:82,-60
1520459759.246,E8:FA:0D:3C:01:82,-60
1520459759.247,FD:99:D9:69:5D:BC,-62
1520459759.247,FD:99:D9:69:5D:BC,-62
1520459759.248,78:4F:43:78:44:5D,-103
1520459759.264,1F:9C:A1:B9:1A:73,-58
1520459759.272,F1:4E:55:EA:ED:A4,-60
1520459759.275,F1:4E:55:EA:ED:A4,-60
1520459759.277,C2:57:36:E6:71:6E,-65
1520459759.278,C2:57:36:E6:71:6E,-65
1520459759.280,CB:3C:59:5F:87:FB,-62
1520459759.309,CB:3C:59:5F:87:FB,-62
1520459759.313,EC:8F:47:27:6C:DE,-65
1520459759.315,EC:8F:47:27:6C:DE,-65
1520459759.317,68:64:4B:39:4B:0F,-101
1520459759.574,CB:3C:59:5F:87:FB,-66
1520459759.575,CB:3C:59:5F:87:FB,-66
1520459759.575,1F:9C:A1:B9:1A:73,-70
